"time","mean_Ch1_Ch2_Trial_1_modified","mean_Ch3_Ch4_Trial_1_modified","mean_Ch1_Ch2_Trial_2_modified","mean_Ch3_Ch4_Trial_2_modified","mean_Ch1_Ch2_Trial_3_modified","mean_Ch3_Ch4_Trial_3_modified","mean_Ch1_Ch2_Trial_4_modified","mean_Ch3_Ch4_Trial_4_modified","mean_Ch1_Ch2_Trial_5_modified","mean_Ch3_Ch4_Trial_5_modified","mean_Ch1_Ch2_Trial_6_modified","mean_Ch3_Ch4_Trial_6_modified","mean_Ch1_Ch2_Trial_7_modified","mean_Ch3_Ch4_Trial_7_modified","mean_Ch1_Ch2_Trial_8_modified","mean_Ch3_Ch4_Trial_8_modified","mean_Ch1_Ch2_Trial_9_modified","mean_Ch3_Ch4_Trial_9_modified","mean_Ch1_Ch2_Trial_10_modified","mean_Ch3_Ch4_Trial_10_modified"
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.831666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.105,NA
0.25,NA,NA,NA,NA,NA,NA,NA,0.977333333333333,NA,NA,NA,NA,NA,NA,NA,0.302666666666667,NA,NA,NA,NA
0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.60566666666667,NA,NA,NA,NA,NA,NA
0.5,NA,NA,NA,NA,NA,NA,NA,NA,1.32066666666667,NA,NA,0.279333333333333,NA,NA,NA,NA,NA,NA,NA,NA
0.55,NA,NA,NA,0.447666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.6,NA,NA,NA,0.447666666666667,NA,NA,1.23933333333333,NA,NA,NA,NA,NA,NA,NA,0.465666666666667,NA,NA,NA,NA,NA
0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.7,NA,NA,0.372333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.75,NA,NA,0.372333333333333,NA,NA,2.612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.965666666666667,NA,NA,NA,NA,NA,NA,NA
0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,1.77433333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.320333333333333,NA,NA
1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0813333333333333
1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.296333333333333,NA,NA,NA,NA,0.378333333333333,NA,NA,NA
1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.296333333333333,NA,NA,NA,NA,NA,NA,NA,NA
1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.55,NA,NA,NA,NA,NA,NA,NA,1.07633333333333,NA,NA,NA,NA,NA,NA,NA,0.198,NA,NA,0.512,NA
1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.512,NA
1.65,NA,NA,NA,NA,NA,NA,NA,NA,1.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.55933333333333,NA,NA,NA,NA,NA,NA
1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.95,NA,NA,NA,NA,NA,NA,2.46666666666667,NA,NA,NA,NA,NA,NA,NA,0.750666666666667,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.849333333333333,NA,0.360666666666667,NA,NA,NA,NA,NA,NA,NA,NA
2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.02466666666667,NA,NA,NA,NA,NA,NA,NA
2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.45,NA,NA,NA,NA,NA,2.60033333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.093
2.6,NA,NA,NA,NA,2.775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.285,NA,0.093
2.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.7,NA,NA,NA,NA,NA,NA,NA,NA,0.692333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0813333333333334,NA,NA,NA,NA
2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.506,NA,NA,NA
2.85,NA,NA,0.331333333333333,NA,NA,NA,NA,1.07633333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.989,NA
3,NA,NA,NA,0.430666666666667,NA,NA,NA,NA,NA,NA,NA,0.471,NA,NA,NA,NA,NA,NA,NA,NA
3.05,NA,NA,NA,0.430666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.878666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.48933333333333,NA,NA,NA,NA,NA,NA
3.25,0.244333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.744666666666667,NA,NA,NA,NA,NA
3.3,0.244333333333333,NA,NA,NA,NA,NA,3.543,NA,NA,NA,NA,NA,NA,NA,0.744666666666667,NA,NA,NA,NA,NA
3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.4,0.238666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0463333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.45,NA,0.785333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.5,NA,0.785333333333333,NA,NA,NA,NA,NA,NA,0.907666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.839,NA,NA,NA,NA,NA,NA,NA
3.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.85,0.145666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.611,NA,NA,NA,NA,NA,NA,NA,NA
3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.95,0.145333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0753333333333333,NA,NA,NA,0.087
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.05,0.145666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.1,NA,NA,NA,NA,NA,NA,NA,0.995,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.273333333333333,NA,NA
4.15,0.145333333333333,NA,NA,NA,NA,2.57733333333333,NA,NA,NA,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.2,0.145333333333333,NA,NA,NA,2.955,NA,NA,NA,NA,NA,0.0583333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.25,0.145333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64,NA,NA,NA
4.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.46033333333333,NA
4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.6,NA,NA,NA,NA,NA,NA,NA,NA,1.437,NA,NA,NA,NA,1.425,0.628333333333333,NA,NA,NA,NA,NA
4.65,NA,NA,NA,NA,NA,NA,4.25266666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.733333333333333,NA,NA,NA,NA,NA,NA,NA,NA
4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.44966666666667,NA,NA,NA,NA,NA,NA,NA
5.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.087,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.896,NA,NA,NA,NA,NA,0.157333333333333,NA,NA,NA,NA
5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.3,NA,NA,0.349333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0873333333333333
5.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.4,NA,NA,NA,NA,NA,NA,NA,0.861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.45,NA,NA,NA,0.401333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.5,NA,NA,NA,0.401333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.838,NA,NA,NA,NA,NA,NA,NA,NA
5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.256,NA,NA
5.7,NA,NA,NA,NA,NA,NA,NA,NA,1.152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.693,NA
5.8,NA,NA,NA,NA,2.15833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.692333333333333,NA,NA,NA
5.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.273666666666667,NA,NA,NA,NA,NA
5.9,NA,NA,NA,NA,NA,2.57133333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.95,NA,NA,NA,NA,NA,NA,4.34566666666667,NA,NA,NA,0.157,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.157,NA,NA,1.373,NA,NA,NA,NA,NA,NA
6.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.907666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.837666666666667,3.764,NA,NA,0.296333333333333,NA,NA,NA,NA
6.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.6,NA,NA,NA,NA,NA,NA,NA,NA,0.663333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.65,NA,NA,NA,NA,NA,NA,NA,0.674666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0753333333333333
6.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.279333333333333,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.913333333333333,NA,NA,NA,NA,NA,NA,NA,0.221,1.73366666666667,NA
7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.221,NA,NA
7.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.785666666666667,NA,NA,NA,NA,NA,NA,NA,NA
7.3,NA,NA,NA,NA,NA,NA,4.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.704333333333333,NA,NA,NA
7.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.31466666666667,NA,NA,NA,NA,NA,NA
7.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.55,NA,NA,NA,NA,NA,NA,NA,NA,1.15766666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.6,NA,NA,NA,NA,NA,2.57133333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0873333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.7,NA,NA,NA,NA,1.54766666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.424666666666667,NA,NA,NA,NA
7.75,NA,NA,0.297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.424666666666667,NA,NA,NA,NA
7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.89833333333333,NA,NA,NA,NA,NA,NA,NA
7.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.9,NA,NA,NA,0.430666666666667,NA,NA,NA,0.488666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
